id,title,epic,priority,gate,status,owner,points,findings,dependencies,path
TASK-LP-020,Implement durable attempt and reward synchronization with acknowledgments,EPIC-LP-03,P0,G2: consented pilot,Proposed — review required,iOS + backend,8,F04;F43,TASK-LP-014;TASK-LP-017;TASK-LP-025,../../../../docs/tasks/learning-product/TASK-LP-020.md
TASK-LP-021,"Deliver account/learner export, deletion, consent withdrawal, and retention",EPIC-LP-03,P0,G2: consented pilot,Proposed — review required,Backend + privacy + iOS + web,8,F39,TASK-LP-014;TASK-LP-015;TASK-LP-020;TASK-LP-059,../../../../docs/tasks/learning-product/TASK-LP-021.md
TASK-LP-022,Implement least-privilege practitioner invitations and learner sharing,EPIC-LP-03,P1,G4: institutional use,Proposed — review required,Backend + web + privacy,8,F35,TASK-LP-014;TASK-LP-015;TASK-LP-021,../../../../docs/tasks/learning-product/TASK-LP-022.md
TASK-LP-023,"Separate attempts, assistance, completion, skips, and Sparks",EPIC-LP-04,P0,G1: internal prototype,Proposed — review required,iOS + learning engineer + educator,8,F02;F03,TASK-LP-025,../../../../docs/tasks/learning-product/TASK-LP-023.md
TASK-LP-024,Restrict the catalog to supported activity types and accurate claims,EPIC-LP-04,P0,G1: internal prototype,Proposed — review required,Educator + iOS,5,F02;F33,TASK-LP-001;TASK-LP-025,../../../../docs/tasks/learning-product/TASK-LP-024.md
TASK-LP-025,"Specify versioned learning-event, rubric, and evidence contracts",EPIC-LP-04,P1,G1: internal prototype,Proposed — review required,Learning engineer + backend + educator,8,F02;F03;F36,TASK-LP-001;TASK-LP-014,../../../../docs/tasks/learning-product/TASK-LP-025.md
TASK-LP-026,Build a reviewed content publication and rollback pipeline,EPIC-LP-04,P1,G1: internal prototype,Proposed — review required,Content engineering + educator,8,F33,TASK-LP-002;TASK-LP-025,../../../../docs/tasks/learning-product/TASK-LP-026.md
TASK-LP-027,Author one complete reading quest and equivalent independent tasks,EPIC-LP-04,P1,G1: internal prototype,Proposed — review required,Educator lead + content designer,8,F02;F33;F36,TASK-LP-002;TASK-LP-025;TASK-LP-026,../../../../docs/tasks/learning-product/TASK-LP-027.md
TASK-LP-028,Implement the native passage-based reading quest,EPIC-LP-04,P1,G1: internal prototype,Proposed — review required,iOS + design,8,F02;F34,TASK-LP-025;TASK-LP-027,../../../../docs/tasks/learning-product/TASK-LP-028.md
TASK-LP-029,"Implement explicit help, accommodations, and educational feedback",EPIC-LP-04,P1,G2: consented pilot,Proposed — review required,Educator + iOS + learning engineer,5,F02;F03;F30,TASK-LP-027;TASK-LP-028,../../../../docs/tasks/learning-product/TASK-LP-029.md
TASK-LP-030,Implement independent checks and educator verification,EPIC-LP-04,P1,G2: consented pilot,Proposed — review required,Learning engineer + backend + web + educator,8,F36,TASK-LP-025;TASK-LP-027;TASK-LP-046,../../../../docs/tasks/learning-product/TASK-LP-030.md
TASK-LP-031,Replace linear unlocks with reviewed skill-based assignments,EPIC-LP-04,P1,G2: consented pilot,Proposed — review required,Learning engineer + educator + iOS,8,F02;F04;F33,TASK-LP-018;TASK-LP-024;TASK-LP-025;TASK-LP-029;TASK-LP-030,../../../../docs/tasks/learning-product/TASK-LP-031.md
TASK-LP-032,Build the adult evidence dashboard and honest progress exports,EPIC-LP-04,P1,G2: consented pilot,Proposed — review required,Web + backend + educator,8,F03;F14;F34;F36,TASK-LP-025;TASK-LP-030;TASK-LP-037,../../../../docs/tasks/learning-product/TASK-LP-032.md
TASK-LP-033,Build a minimal practitioner assignment and review workflow,EPIC-LP-04,P1,G4: institutional use,Proposed — review required,Web + backend + educator,8,F34;F35,TASK-LP-022;TASK-LP-026;TASK-LP-031;TASK-LP-032,../../../../docs/tasks/learning-product/TASK-LP-033.md
TASK-LP-034,"Separate marketing, family learning, practitioner, and service navigation",EPIC-LP-05,P1,G1: internal prototype,Proposed — review required,Web + product design,5,F01;F34,TASK-LP-001,../../../../docs/tasks/learning-product/TASK-LP-034.md
TASK-LP-035,"Repair static-export deep links, return URLs, and not-found behavior",EPIC-LP-05,P0,G0: protect existing users,Proposed — review required,Web + hosting,5,F34;F42,TASK-LP-054,../../../../docs/tasks/learning-product/TASK-LP-035.md
TASK-LP-036,"Make intake learner-specific, resumable, and truthful about saving",EPIC-LP-05,P0,G0: protect existing users,Proposed — review required,Web + data,8,F15;F39,TASK-LP-014,../../../../docs/tasks/learning-product/TASK-LP-036.md
TASK-LP-037,"Repair parent query authorization, read models, and data-state errors",EPIC-LP-05,P0,G0: protect existing users,Proposed — review required,Web + backend,8,F14,TASK-LP-014,../../../../docs/tasks/learning-product/TASK-LP-037.md
TASK-LP-038,Wire tutoring purchase buttons to authenticated supported checkout operations,EPIC-LP-05,P0,G0: protect existing users,Proposed — review required,Web + backend,5,F18,TASK-LP-050;TASK-LP-075,../../../../docs/tasks/learning-product/TASK-LP-038.md
TASK-LP-039,Create accurate product discovery pages and reconcile public claims,EPIC-LP-05,P1,G3: paid digital release,Proposed — review required,Product marketing + educator + web,5,F01;F37;F40,TASK-LP-001;TASK-LP-002;TASK-LP-005,../../../../docs/tasks/learning-product/TASK-LP-039.md
TASK-LP-040,Complete web accessibility remediation across adult and public workflows,EPIC-LP-05,P1,G2: consented pilot,Proposed — review required,Web + accessibility specialist,8,F31,TASK-LP-034;TASK-LP-035;TASK-LP-036;TASK-LP-037,../../../../docs/tasks/learning-product/TASK-LP-040.md
TASK-LP-041,Validate browser learner access before funding a second runtime,EPIC-LP-05,P2,G4: institutional use,Proposed — review required,Product + web + educator,5,F34;F40,TASK-LP-001;TASK-LP-003;TASK-LP-027,../../../../docs/tasks/learning-product/TASK-LP-041.md
TASK-LP-042,Move booking reservation and entitlement consumption into a server transaction,EPIC-LP-06,P0,G0: protect existing users,Proposed — review required,Backend + web,8,F11,TASK-LP-014;TASK-LP-050;TASK-LP-067,../../../../docs/tasks/learning-product/TASK-LP-042.md
TASK-LP-043,"Implement idempotent cancellation, rescheduling, and timezone policy",EPIC-LP-06,P0,G0: protect existing users,Proposed — review required,Backend + web + operations,8,F11,TASK-LP-042,../../../../docs/tasks/learning-product/TASK-LP-043.md
TASK-LP-044,Make booking email and calendar delivery durable and idempotent,EPIC-LP-06,P0,G0: protect existing users,Proposed — review required,Backend + operations,8,F11;F21,TASK-LP-042;TASK-LP-043;TASK-LP-063,../../../../docs/tasks/learning-product/TASK-LP-044.md
TASK-LP-045,Repair inquiry pipeline access and unify enrollment/payment transitions,EPIC-LP-06,P0,G0: protect existing users,Proposed — review required,Backend + web + operations,8,F13;F20,TASK-LP-012;TASK-LP-014;TASK-LP-050,../../../../docs/tasks/learning-product/TASK-LP-045.md
TASK-LP-046,Version educator assessments and preserve longitudinal history,EPIC-LP-06,P1,G2: consented pilot,Proposed — review required,Backend + web + educator,8,F09;F10;F36,TASK-LP-007;TASK-LP-014;TASK-LP-025,../../../../docs/tasks/learning-product/TASK-LP-046.md
TASK-LP-047,Complete governed resource and portfolio publishing,EPIC-LP-06,P1,G4: institutional use,Proposed — review required,Web + backend + privacy,8,F12;F14;F33,TASK-LP-009;TASK-LP-013;TASK-LP-015;TASK-LP-022,../../../../docs/tasks/learning-product/TASK-LP-047.md
TASK-LP-048,"Repair webhook claim, retry, replay, and processing state",EPIC-LP-07,P0,G0: protect existing users,Proposed — review required,Backend + payments,8,F19,TASK-LP-067,../../../../docs/tasks/learning-product/TASK-LP-048.md
TASK-LP-049,Align Stripe invoice schemas and cycle accounting with event ordering,EPIC-LP-07,P0,G0: protect existing users,Proposed — review required,Backend + payments,8,F20,TASK-LP-048;TASK-LP-050,../../../../docs/tasks/learning-product/TASK-LP-049.md
TASK-LP-050,"Make checkout identity, supported SKUs, and duplicate prevention authoritative",EPIC-LP-07,P0,G0: protect existing users,Proposed — review required,Backend + payments,8,F07;F18;F20,TASK-LP-014;TASK-LP-067,../../../../docs/tasks/learning-product/TASK-LP-050.md
TASK-LP-051,Define digital entitlement authority and cross-platform access policy,EPIC-LP-07,P1,G3: paid digital release,Proposed — review required,Product + backend + iOS,8,F32,TASK-LP-005;TASK-LP-014,../../../../docs/tasks/learning-product/TASK-LP-051.md
TASK-LP-052,"Complete native purchase, restoration, pending, and revocation handling",EPIC-LP-07,P1,G3: paid digital release,Proposed — review required,iOS + payments QA,8,F32,TASK-LP-016;TASK-LP-051;TASK-LP-056,../../../../docs/tasks/learning-product/TASK-LP-052.md
TASK-LP-053,"Add payment reconciliation, refund handling, and finance/support views",EPIC-LP-07,P1,G3: paid digital release,Proposed — review required,Backend + operations + business owner,8,F19;F20;F32,TASK-LP-048;TASK-LP-049;TASK-LP-050;TASK-LP-051,../../../../docs/tasks/learning-product/TASK-LP-053.md
TASK-LP-054,"Isolate local, staging, and production configuration and data",EPIC-LP-08,P0,G0: protect existing users,Proposed — review required,Infrastructure + client leads,8,F23,,../../../../docs/tasks/learning-product/TASK-LP-054.md
TASK-LP-055,Gate releases on verification and deploy every Firebase surface,EPIC-LP-08,P0,G0: protect existing users,Proposed — review required,Infrastructure + QA,8,F24,TASK-LP-054,../../../../docs/tasks/learning-product/TASK-LP-055.md
TASK-LP-056,Make iOS archives reproducible and validate the TestFlight pipeline,EPIC-LP-08,P1,G2: consented pilot,Proposed — review required,iOS release engineer,8,F25;F44,TASK-LP-054;TASK-LP-055,../../../../docs/tasks/learning-product/TASK-LP-056.md
TASK-LP-057,Triage dependency advisories and remove unnecessary runtime dependencies,EPIC-LP-08,P0,G0: protect existing users,Proposed — review required,Security + web + backend,8,F26,TASK-LP-054,../../../../docs/tasks/learning-product/TASK-LP-057.md
TASK-LP-058,"Inventory deployed IAM, secrets, regions, and service configuration",EPIC-LP-08,P0,G0: protect existing users,Proposed — review required,Infrastructure + security,8,F27,TASK-LP-054,../../../../docs/tasks/learning-product/TASK-LP-058.md
TASK-LP-059,Validate backups and rehearse whole-system recovery,EPIC-LP-08,P0,G0: protect existing users,Proposed — review required,Infrastructure + data + privacy,8,F28;F39,TASK-LP-054;TASK-LP-058,../../../../docs/tasks/learning-product/TASK-LP-059.md
TASK-LP-060,Implement privacy-safe observability and actionable service alerts,EPIC-LP-08,P1,G2: consented pilot,Proposed — review required,Backend + iOS + operations,8,F06;F29;F41,TASK-LP-054;TASK-LP-058;TASK-LP-064,../../../../docs/tasks/learning-product/TASK-LP-060.md
TASK-LP-061,"Bound query, storage, compute, and client performance costs",EPIC-LP-08,P1,G2: consented pilot,Proposed — review required,Infrastructure + backend + clients,8,F29,TASK-LP-014;TASK-LP-054;TASK-LP-060,../../../../docs/tasks/learning-product/TASK-LP-061.md
TASK-LP-062,Add server-enforced release flags and client/content compatibility,EPIC-LP-08,P1,G2: consented pilot,Proposed — review required,Backend + iOS + web,5,F24;F29;F33,TASK-LP-025;TASK-LP-026;TASK-LP-054,../../../../docs/tasks/learning-product/TASK-LP-062.md
TASK-LP-063,"Repair lifecycle email consent, delivery state, and retry semantics",EPIC-LP-09,P0,G0: protect existing users,Proposed — review required,Backend + operations + privacy,8,F21,TASK-LP-054;TASK-LP-058,../../../../docs/tasks/learning-product/TASK-LP-063.md
TASK-LP-064,Remove sensitive diagnostics and gate analytics collection by context,EPIC-LP-09,P0,G0: protect existing users,Proposed — review required,iOS + web + privacy,5,F06;F39,,../../../../docs/tasks/learning-product/TASK-LP-064.md
TASK-LP-065,Define privacy-preserving product metrics and pilot dashboards,EPIC-LP-09,P1,G2: consented pilot,Proposed — review required,Product analytics + backend + privacy,5,F03;F29;F40,TASK-LP-003;TASK-LP-025;TASK-LP-064,../../../../docs/tasks/learning-product/TASK-LP-065.md
TASK-LP-066,Replace hardcoded seasonal schedules with versioned program configuration,EPIC-LP-09,P1,G0: protect existing users,Proposed — review required,Backend + web + operations,5,F21;F33;F37,TASK-LP-014;TASK-LP-063,../../../../docs/tasks/learning-product/TASK-LP-066.md
TASK-LP-067,Build real backend and rules integration coverage,EPIC-LP-10,P0,G0: protect existing users,Proposed — review required,QA + backend,8,F38,TASK-LP-054,../../../../docs/tasks/learning-product/TASK-LP-067.md
TASK-LP-068,"Test native persistence, identity, and sync using real stores",EPIC-LP-10,P0,G2: consented pilot,Proposed — review required,iOS + QA,8,F04;F05;F38;F43,TASK-LP-017;TASK-LP-018;TASK-LP-019;TASK-LP-020;TASK-LP-073,../../../../docs/tasks/learning-product/TASK-LP-068.md
TASK-LP-069,Move browser E2E to staging and verify actual user outcomes,EPIC-LP-10,P0,G0: protect existing users,Proposed — review required,QA + web + infrastructure,8,F18;F24;F38,TASK-LP-011;TASK-LP-054,../../../../docs/tasks/learning-product/TASK-LP-069.md
TASK-LP-070,"Complete native accessibility, sensory controls, and audio lifecycle",EPIC-LP-10,P0,G2: consented pilot,Proposed — review required,iOS + accessibility specialist + educator,8,F30,TASK-LP-016;TASK-LP-028,../../../../docs/tasks/learning-product/TASK-LP-070.md
TASK-LP-071,Run a release-gate review and consented pilot acceptance cycle,EPIC-LP-10,P1,G2: consented pilot,Proposed — review required,QA lead + educator + product + privacy,8,F38;F40;F41,TASK-LP-003;TASK-LP-006;TASK-LP-007;TASK-LP-008;TASK-LP-012;TASK-LP-013;TASK-LP-015;TASK-LP-016;TASK-LP-018;TASK-LP-019;TASK-LP-020;TASK-LP-021;TASK-LP-023;TASK-LP-024;TASK-LP-028;TASK-LP-029;TASK-LP-030;TASK-LP-032;TASK-LP-036;TASK-LP-037;TASK-LP-040;TASK-LP-055;TASK-LP-056;TASK-LP-060;TASK-LP-062;TASK-LP-064;TASK-LP-065;TASK-LP-068;TASK-LP-070;TASK-LP-074;TASK-LP-075,../../../../docs/tasks/learning-product/TASK-LP-071.md
TASK-LP-072,"Consolidate backlog ownership, operating runbooks, and support",EPIC-LP-10,P1,G1: internal prototype,Proposed — review required,Product + engineering lead + operations,5,F01;F41,TASK-LP-001,../../../../docs/tasks/learning-product/TASK-LP-072.md
TASK-LP-073,Correct SwiftData actor isolation and data-adapter failure contracts,EPIC-LP-03,P0,G2: consented pilot,Proposed — review required,iOS data engineer,8,F43,TASK-LP-014,../../../../docs/tasks/learning-product/TASK-LP-073.md
TASK-LP-074,Complete essential assets and align the child/adult design system,EPIC-LP-10,P1,G2: consented pilot,Proposed — review required,Product design + iOS + web,5,F30;F44,TASK-LP-001;TASK-LP-002;TASK-LP-028,../../../../docs/tasks/learning-product/TASK-LP-074.md
TASK-LP-075,Complete adult authentication recovery and account continuity,EPIC-LP-05,P1,G2: consented pilot,Proposed — review required,Web + iOS + backend,8,F05;F42,TASK-LP-014;TASK-LP-054,../../../../docs/tasks/learning-product/TASK-LP-075.md
TASK-LP-076,Create a repeatable schema migration and compatibility framework,EPIC-LP-03,P0,G0: protect existing users,Proposed — review required,Data + infrastructure + client leads,8,F10;F28;F43,TASK-LP-014;TASK-LP-054,../../../../docs/tasks/learning-product/TASK-LP-076.md
